Metabolite,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
ATP,-0.1666666,0,-0.166666,0,0.33333,0,0.333333,0,0,0,0,0,0,0,0,0,0,0.2,0,0,-1,0,-0.25,-0.166666,0,-0.2,0,0,-1,-0.26087,-0.4625,-0.489,-1.0396,-0.4,-1,-0.25,0,0
Glucose6P,1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fructose6P,0,1,-1,0,0,0,0,0,0,0,0,0,0,0.6,0.666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glyceraldehyde3P,0,0,0.5,1,-1,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117,0,0,0,0,0
DihydroxyacetoneP,0,0,0.5,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NADH(cit),0,0,0,0,0.333333,0,0,0,0,0.5,-0.333333,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.154,0.0568,-0.0017,0,0,0,0,0
3PGlycerate,0,0,0,0,1,-1,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.375,0,0,0,0,0,0,0,0,0,0
Phosphoenolpyruvate,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0935,0,0,0,0,0
Pyruvate,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-0.42857,0,0,0,0,0,0,-0.75,0,0,0,0,0,0,0,0,0,-0.338,0,0,0,0,0
Acetaldehyde,0,0,0,0,0,0,0,0.666666,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Acetate,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glycerol3P,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0662,0,0,0,0
Pi,0,0,0,0,-0.33333,0,0,0,0,0,0,0.333333,0,0,0,0,0,-0.2,0,0,1,0,0.25,0.33333,0,0.2,0,0.125,0,0,0.4625,0.489,1.0396,0.4,0,0,0.25,0
Ribose5P,0,0,0,0,0,0,0,0,0,0,0,0,0.833333,-1,-0.55555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21739,-0.2544,-0.24,-0.0404,0,0,0,0,0
Erytrose4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,-0.444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0623,0,0,0,0,0
Isocitrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85714,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-Ketoglutarate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333,-1,0,0,0,0.833333,0,0,-1,0,0.555555,0.625,0,0,0,0,0.04927,0,0,0,0,0
NADH(mit),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14286,0.166666,0.2,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.0742,0,0,0,-0.5,0
Oxaloacetate(mit),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.57143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Succinate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FADH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.4163,0,0,0,0
Acetyl-CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.8326,0,0,0,0
Carbohydrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0167
